revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_22fcbef_cd9a221/rev_22fcbef-cd9a221.revisions;1414;528;0;528;0;886;884;1;1;0;1;0;1
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_a1b1e81_7c87583/rev_a1b1e81-7c87583.revisions;1478;527;0;527;0;951;951;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_490785c_a1c8550/rev_490785c-a1c8550.revisions;1478;527;0;527;0;951;951;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_7af28e3_71ef2c9/rev_7af28e3-71ef2c9.revisions;1478;527;0;527;0;951;951;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_dcdfa31_b9090a6/rev_dcdfa31-b9090a6.revisions;1426;534;0;534;0;892;892;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_dcdfa31_81e3fe5/rev_dcdfa31-81e3fe5.revisions;1478;527;0;527;0;951;951;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_b47de55_eb01a82/rev_b47de55-eb01a82.revisions;1473;531;0;531;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_59cf44c_dcbca5f/rev_59cf44c-dcbca5f.revisions;1490;531;0;531;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_f35e2db_004a94e/rev_f35e2db-004a94e.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6ebc23b_789c3af/rev_6ebc23b-789c3af.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_3c5988b_af3cc82/rev_3c5988b-af3cc82.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_8ca95e9_e7542b2/rev_8ca95e9-e7542b2.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_49d9830_bdac2ac/rev_49d9830-bdac2ac.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_7209632_2d37e84/rev_7209632-2d37e84.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_156dce4_929d282/rev_156dce4-929d282.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_f3f6cb6_2b929b5/rev_f3f6cb6-2b929b5.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_b03b719_68c93fb/rev_b03b719-68c93fb.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_742353c_f846f1c/rev_742353c-f846f1c.revisions;1492;533;0;533;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_4038ee6_57ff897/rev_4038ee6-57ff897.revisions;1494;535;0;535;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6d33f25_079d474/rev_6d33f25-079d474.revisions;1494;535;0;535;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_bbc90d8_cf7cbb8/rev_bbc90d8-cf7cbb8.revisions;1494;535;0;535;0;959;959;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_d5c1153_211f61e/rev_d5c1153-211f61e.revisions;1498;535;0;535;0;963;963;0;0;0;0;0;0
